Primary Dealer|Holding Company|Ticker|Start Date|End Date|Permco|gvkey
NESBITT BURNS SECURITIES INC.|Bank of Montreal|BMO (NYSE)|6/1/95|2/14/00|29146.0|15580.0
NOMURA SECURITIES INTERNATIONAL,INC|NOMURA HOLDINGS, INC. ||12/11/86|11/30/07|42522.0|15613.0
NOMURA SECURITIES INTERNATIONAL,INC|NOMURA HOLDINGS, INC. ||7/27/09|Current|42522.0|15613.0
NORTHERN TRUST|Northern Trust Corporation|NTRS (NASDAQ)|8/8/73|5/29/86|3275.0|7982.0
NUVEEN GOV'T SEC. INC.|Nuveen Corporation|6051B|11/18/71|8/27/80|29493.0|25296.0
PAINE WEBBER INCORPORATED |PaineWebber Group Inc.|PWJ|6/22/72|6/27/73|21359.0|8299.0
PAINE, WEBBER, JACKSON & CURTIS INC.|PaineWebber Group Inc.|PWJ|11/25/76|12/4/00|21359.0|8299.0
PARIBAS CORPORATION|BNP Paribas Group|BNP (Euronext Paris)|5/1/97|9/14/00||15532.0
PRUDENTIAL SECURITIES INCORPO|Prudential Financial Inc.|PRU (NYSE)|10/29/75|12/1/00|42524.0|143356.0
RBC CAPITAL MARKETS|Royal Bankof Canada|RY|7/8/09|Current|29151.0|15633.0
RBS SECURITIES INC.|The Royal Bank of Scotland Group PLC|RBS|4/1/09|Current|28711.0|15634.0
REFCO PARTNERS|Refco Group Ltd.|RFX|11/19/80|5/7/87|47194.0|163770.0
S.G. WARBURG & CO.|BNP Paribas Group|BNP (Euronext Paris)|6/24/88|7/26/95|42524.0|143356.0
SANWA SCTY USA CO LP|Sanwa Holdings Corp||6/20/88|7/20/98||102895.0
SBC WARBURG DILLON READ INC.|Swiss Bank Corporation |UBS|3/29/90|6/28/98|37504.0|144496.0
SECOND DISTRICT SECURITIES CO., INC |||6/15/61|8/27/80||
SECURITIES GROUPS |||5/19/60|6/5/83||
SECURITY PACIFIC NATIONAL BANK|Security Pacific Corporation|6020|12/11/86|1/17/91|4205.0|9577.0
SG AMERICAS SECURITIES, LLC|SOCIETE GENERALE|SCGLY|2/2/11|Current||15784.0
SG COWEN SECURITIES CORP.|SOCIETE GENERALE|GLE (Euronext Paris)|7/1/99|10/31/01||15784.0
SMITH BARNEY|Smith Barney Holdings|TRV1|8/22/79|8/31/98||60841.0
SOUTHERN CALIF S&L ASSOC|California Federal Savings and Loan Association||6/7/83|8/5/83|5884.0|2612.0
TD SECURITIES (USA) LLC|The Toronto-Dominion Bank|TD (NYSE)|2/11/14|Current|29152.0|15706.0
THE FIRST BOSTON CORPORATION |Credit Suisse Group AG|CSGN (SIX Swiss Ex)|5/19/60|10/11/93|42125.0|28838.0
THE NIKKO SECURITIES CO. INT|Nikko Securities Co.|NIKOY|12/22/87|1/3/99||15616.0
THOMSON MCKINNON SECURITIES INC.|Prudential Financial Inc.|PRU (NYSE)|12/11/86|7/7/89|42524.0|143356.0
UBS SECURITIES LLC.|UBS Group AG|UBSG (SIX Swiss Ex)|12/7/89|Current|55100.0|144496.0
WEEDEN & CO.|WEEDEN & CO.||6/17/76|5/15/78|25984.0|
WERTHEIM SCHRODER & CO.|Citigroup Inc.|C (NYSE)|5/19/60|12/31/90|20483.0|3243.0
WESTPAC POLLOCK GOV'T SECURITIES INC|Westpac Banking Corporation|WBK (NYSE)|2/4/87|6/27/90|22027.0|15362.0
WHITE, WELD & CO INC. (BRAVER STERN SECURITIES)|||5/19/60|4/30/70||
WM. E. POLLOCK GOV'T SECURITIES,INC (WESTPAC POLLOCK & CO. INC.)|Westpac Banking Corporation|WBK (NYSE)|5/19/60|2/3/87|22027.0|15362.0
YAMAICHI INT'L (AMERICA)|||9/29/88|12/4/97||
ZIONS FIRST NATIONAL BANK |Zions Bancorporation|ZION (NASDAQ)|8/11/93|3/31/02|21305.0|8007.0
